Mã ICD,Tên bệnh
Y06.2,do người quen hay bạn
Y06.8,do người khác biết rõ đặc điểm
Y06.9,do người khác không biết rõ đặc điểm
Y07,các hội chứng hành hạ khác
Y07.0,do vợ chồng hay người cộng tác
Y07.1,do cha mẹ
Y07.2,do người quen hay bạn
Y07.3,do công chức có thẩm quyền
Y07.8,do người khác biết đặc điểm
Y07.9,do người không rõ đặc điểm
Y08,tấn công bằng phương tiện khác biết đặc điểm
Y09,tấn công bằng phương tiện khác không rõ đặc điểm
Y10,ngộ độc và phơi nhiễm thuốc giảm đau hạ sốt chống thấp không có thuốc phiện không rõ ý đồ
Y11,ngộ độc và phơi nhiễm thuốc chống động kinh an thần gây ngủ chống parkinson và hướng thần không được xếp loại ở chỗ khác không rõ ý đồ
Z96.7,sự có mặt dụng cụ cấy ghép xương và gân
Z96.8,sự có mặt dụng cụ cấy ghép chức năng xác định khác
Z96.9,sự có mặt dụng cụ cấy ghép chức năng không đặc hiệu
Z97,sự có mặt của các dụng cụ cấy ghép khác
Z97.0,sự có mặt mắt giả
Z97.1,sự có mặt của chi giả toàn bộ một phần
Z97.2,sự có mặt của dụng cụ chỉnh hình răng toàn bộ một phần
Z97.3,sự có mặt của mắt kính và thấu kính tiếp xúc
Z97.4,sự có mặt của dụng cụ trợ thính bên ngoài
Z97.5,sự có mặt của dụng cụ tránh thai trong tử cung
Z97.8,sự có mặt của các dụng cụ xác định khác
Z98,các tình trạng hậu phẫu thuật
Z98.0,tình trạng nối tắt ruột và nối ruột
Z98.1,tình trạng đóng cứng khớp
Z98.2,sự có mặt dụng cụ dẫn lưu dịch não tủy
Z98.8,các tình trạng hậu phẫu xác định khác
Z99,tình trạng phụ thuộc vào các thiết bị và dụng cụ chưa được phân loại ở phần khác
Z99.0,phụ thuộc máy hút
Z99.1,phụ thuộc máy thở
Z99.2,phụ thuộc chạy thận nhân tạo
Z99.3,phụ thuộc vào xe lăn
Z99.4,lệ thuộc vào tim nhân tạo
Z99.8,phụ thuộc vào các thiết bị và dụng cụ khác
Z99.9,phụ thuộc vào thiết bị và dụng cụ không xác định
U04,hội chứng suy hô hấp cấp tính nặng sars
U04.9,hội chứng suy hô hấp cấp tính nặng sars không đặc hiệu
U06,sử dụng mã u06 trong trường cấp cứu
U06.0,sử dụng mã u06 0 trong cấp cứu
U06.1,sử dụng mã u06 1 trong cấp cứu
