Mã ICD,Tên bệnh
M14.3,viêm khớp và da nhiễm mỡ e78 8
M14.30,viêm khớp và da nhiễm mỡ e78 8 nhiều vị trí
I61.9,xuất huyết nội sọ không đặc hiệu
I63,nhồi máu não
I63.6,nhồi máu não do huyết khối tĩnh mạch não không sinh mủ
I65.1,nghẽn tắc và hẹp động mạch nền
K71.2,bệnh gan nhiễm độc có viêm gan cấp
K71.3,bệnh gan nhiễm độc có viêm gan mạn dai dẳng
K71.4,bệnh gan nhiễm độc có viêm tiểu thùy gan mạn
K71.5,bệnh gan nhiễm độc có viêm gan mạn hoạt động
K71.6,bệnh gan nhiễm độc có viêm gan không phân loại nơi khác
E16.0,hạ glucose máu do thuốc không hôn mê
E16.1,hạ glucose máu khác
E16.2,hạ glucose máu không đặc hiệu
E16.3,tăng tiết glucagon
E16.4,tiết gastrin bất thường
E16.8,các rối loạn xác định khác của bài tiết của tuyến tụy nội tiết
E16.9,các rối loạn bài tiết của tuyến tụy nội tiết không xác định
E20,suy cận giáp
E20.0,suy cận giáp không rõ nguyên nhân
E20.1,giả suy cận giáp
E20.8,suy cận giáp khác
E20.9,suy cận giáp không đặc hiệu
E21,cường cận giáp và các rối loạn khác của tuyến cận giáp
E21.0,cường cận giáp nguyên phát
E21.1,cường cận giáp thứ phát chưa được phân loại ở phần khác
E21.2,cường cận giáp độ 3
E21.3,cường cận giáp không các định
E21.4,các rối loạn xác định khác của tuyến cận giáp
E21.5,rối loạn tuyến cận giáp không đặc hiệu
E22,cường tuyến yên
E22.0,bệnh to cực và chứng khổng lồ do tuyến yên m14 5
E22.1,tăng prolactin máu
E22.2,hội chứng tiết hormon kháng bài niệu adh không thích hợp
E22.8,cường năng khác của tuyến yên
E22.9,cường năng tuyến yên không đặc hiệu
G43.3,migraine biến chứng
G43.8,migraine khác
G43.9,migraine không đặc hiệu
G44,hội chứng đau đầu khác
G44.0,hội chứng đau đầu chuỗi
G44.1,nhức đầu do mạch máu không phân loại nơi khác
G44.2,đau đầu do căng thẳng
G44.3,đau đầu mãn tính sau chấn thương
G44.4,đau do thuốc không phân loại ở mục khác
G44.8,chứng đau đầu xác định khác
G45,cơn thiếu máu não cục bộ thóang qua và hội chứng liên quan
G45.0,hội chứng động mạch sống nền
G45.1,hội chứng động mạch cảnh bán cầu não
F31.71,rối loạn lưỡng cực thuyên giảm một phần tình trạng mới đây là hưng cảm nhẹ
F31.72,rối loạn lưỡng cực thuyên giảm hoàn toàn tình trạng mới đây là hưng cảm nhẹ
F31.73,rối loạn lưỡng cực thuyên giảm một phần tình trạng mới đây là hưng cảm
F31.74,rối loạn lưỡng cực thuyên giảm hoàn toàn tình trạng mới đây là hưng cảm
F31.75,rối loạn lưỡng cực thuyên giảm một phần tình trạng mới đây là trầm cảm
F31.76,rối loạn lưỡng cực thuyên giảm hoàn toàn tình trạng mới đây là trầm cảm
F31.77,rối loạn lưỡng cực thuyên giảm một phần tình trạng mới đây là hỗn hợp
F31.78,rối loạn lưỡng cực thuyên giảm hoàn toàn tình trạng mới đây là hỗn hợp
F31.81,rối loạn lưỡng cực ii
F31.89,rối loạn lưỡng cực khác
F31.9,rối loạn cảm xúc lưỡng cực không biệt định
F32,giai đoạn trầm cảm
F32.1,giai đoạn trầm cảm vừa
F32.2,giai đoạn trầm cảm nặng không có các triệu chứng loạn thần
F32.3,giai đoạn trầm cảm nặng với các triệu chứng loạn thần
F32.9,giai đoạn trầm cảm không đặc hiệu
F33,rối loạn trầm cảm tái diễn
F33.0,rối loạn trầm cảm tái diễn hiện tại giai đoạn nhẹ
F33.2,rối loạn trầm cảm tái diễn hiện tại giai đoạn nặng không có triệu chứng loạn thần
F33.3,rối loạn trầm cảm tái diễn hiện tại giai đoạn nặng với các triệu chứng loạn thần
A15,lao hô hấp có xác nhận về vi khuẩn học và mô học
A15.0,lao phổi xác nhận bằng soi đờm có cấy hoặc không cấy đờm
A56.12,viêm tinh hoàn và mào tinh hoàn do chalamydia
A56.3,bệnh do chlamydia ở hậu môn và trực tràng
A56.4,bệnh do chlamydia ở họng
A56.8,bệnh do chlamydia lây truyền qua đường tình dục có vị trí khác
A57,bệnh hạ cam
A58,u hạt ở bẹn
A59,bệnh do trichomonas
A59.8,bệnh do trichomonas ở vị trí khác
A59.9,bệnh do trichomonas không xác định
A60,bệnh do herpes simplex vùng hậu môn sinh dục
A60.0,bệnh do virus herpes ở đường sinh dục và niệu sinh dục
A60.00,nhiễm virus herpes ở hệ niệu sinh dục không xác định
A60.01,nhiễm trichomonas ở dương vật
A60.02,nhiễm trichomonas ở cơ quan sinh dục nam khác
A60.04,viêm âm hộ âm đạo do virus herpes loét do virus herpes herpes simplex viêm âm hộ do herpes viêm âm đạo do herpes
A60.09,nhiễm virus herpes ở đường niệu sinh dục khác
A60.1,bệnh do virus herpes ở da quanh hậu môn và trực tràng
A60.9,bệnh do virus herpes ở hậu môn sinh dục không xác định
A63.0,mụn cơm hoa liễu ở hậu môn sinh dục
A63.8,bệnh lây truyền chủ yếu qua đường tình dục xác định khác
A64,bệnh lây truyền qua đường tình dục không xác định
A65,giang mai không lây qua đường tình dục
A66,ghẻ cóc do nhiễm treponema pertenue
A66.0,tổn thương ban đầu của ghẻ cóc
A66.2,tổn thương da sớm khác của ghẻ cóc
A66.3,tăng sừng hóa của ghẻ cóc
A66.4,gôm và loét của ghẻ cóc
A66.5,bệnh gangosa bệnh loét quanh mũi
A66.7,biểu hiện khác của ghẻ cóc
A66.8,ghẻ cóc tiềm ẩn
A66.9,ghẻ cóc không xác định
A67,bệnh pinta bệnh do treponema carateum
A67.1,tổn thương trung gian của pinta
A67.2,tổn thương muộn của pinta
A67.3,tổn thương hỗn hợp của pinta
A67.9,pinta không xác định
A68.0,sốt hồi qui do chấy rận
A68.1,sốt hồi qui do ve truyền
A69,bệnh do xoắn trùng khác
A69.0,viêm loét hoại tử ở miệng
A69.1,nhiễm trùng do kiểu vincent khác
A69.2,bệnh lyme
A69.9,nhiễm xoắn khuẩn không xác định
A70,bệnh do chlamydia psittaci
A71,bệnh mắt hột
A71.1,giai đoạn hoạt động của mắt hột
A71.9,bệnh mắt hột không xác định
A74,bệnh khác do chlamydia
A74.0,viêm kết mạc do chlamydia h13 1
E72.10,cystathione niệu
E72.12,methionine máu
E72.13,thiếu men sulfite oxidase
E72.21,acid argininosuccinat niệu
E72.22,citrulline máu
E72.50,tăng hydroxyproline máu
E72.51,tăng proline máu typ i ii
E72.53,sarcosine máu
E74.01,thiếu men phosphorylase ở gan
E75.00,bệnh nhiễm gangliosid gm2 không xác định
E75.01,bệnh sandhoff
E75.02,bệnh tay sachs
E75.03,bệnh nhiễm gangliosid gm2 khác ở người trưởng thành ở thiếu niên
E75.10,bệnh nhiễm gangliosid nos gm1 gm3
E75.11,nhiễm mucolipid typ iv
E75.21,bệnh fabry anderson
E75.22,bệnh gaucher
E75.23,bệnh krabbe
E75.24,bệnh niemann pick
E75.25,hội chứng farber
E75.26,loạn dưỡng biến sắc chất trắng não do tích tụ sphingolipid hay bệnh arylsulfatase a
E75.27,thiếu men sulfatase
H51,các rối loạn vận nhãn hai mắt khác
H51.0,liệt phối hợp hướng nhìn
H51.1,thiểu năng hay gia tăng quy tụ
H51.8,các rối loạn vận nhãn hai mắt xác định khác
H51.9,rối loạn vận nhãn hai mắt không đặc hiệu
H52,bệnh khúc xạ và điều tiết
H52.2,loạn thị
H52.3,khúc xạ hai mắt không đều và hình võng mạc hai mắt không đều
H52.5,rối loạn điều tiết
H52.6,tật khúc xạ khác
H53,rối loạn thị giác
H53.0,nhược thị do không nhìn
H53.1,rối loạn thị giác chủ quan
H53.3,rối loạn thị giác hai mắt khác
H53.4,tổn hại thị trường
H53.6,quáng gà
H53.8,rối loạn thị giác khác
H54,giảm thị lực bao gồm mù lòa hai mắt hoặc một mắt
H54.0,mù hai mắt
H54.1,giảm thị lực mức độ nặng hai mắt
H54.2,giảm thị lực mức độ trung bình hai mắt
H54.4,mù một mắt
H54.5,giảm thị lực mức độ nặng một mắt
H54.6,giảm thị lực mức độ trung bình một mắt
H54.7,mất thị lực không đặc hiệu
H55,rung giật nhãn cầu và rối loạn vận nhãn khác
H57,các bệnh khác của mắt và phần phụ
H57.1,nhức mắt
H57.8,các bệnh xác định khác của mắt và phần phụ
H57.9,các bệnh của mắt và phần phụ không đặc hiệu
H58,bệnh khác của mắt và phần phụ trong các bệnh phân loại nơi khác
H58.1,rối loạn thị giác trong các bệnh phân loại nơi khác
H58.8,bệnh của mắt và phần phụ xác định khác trong các bệnh phân loại nơi khác
H59,bệnh mắt và phần phụ sau phẫu thuật không phân loại nơi khác
H59.0,bệnh lý giác mạc không có thủy tinh thể
H59.8,bệnh khác của mắt và phần phụ sau phẫu thuật
H59.9,bệnh mắt và phần phụ sau phẫu thuật không đặc hiệu
H60,viêm tai ngoài
H60.1,viêm mô tế bào tai ngoài
H60.2,viêm tai ngoài ác tính
H60.3,viêm tai ngoài nhiễm trùng khác
H60.5,viêm tai ngoài cấp không nhiễm trùng
H60.8,viêm tai ngoài khác
H60.9,viêm tai ngoài không đặc hiệu
H61.0,viêm màng bao sụn tai ngoài viêm màng sụn vành tai
H61.1,bệnh loa tai không nhiễm trùng
H61.2,nút ráy tai
F15.99,sử dụng chất kích thích khác không xác định có rối loạn không xác định do chất kích thích
F16,rối loạn tâm thần và hành vi do sử dụng các chất gây ảo giác
F16.10,lạm dụng chất gây ảo giác không biến chứng
A74.9,bệnh do chlamydia không xác định
A75,bệnh sốt phát ban do rickettsia
A75.0,sốt phát ban dịch tễ do chấy rận rickettsia prowazekii
A75.1,sốt phát ban tái diễn bệnh brill
A75.3,sốt phát ban do rickettsia tsutsugamushi
A75.9,sốt phát ban không xác định
A77,sốt phát ban dạng đốm bệnh rickttsia do bọ ve truyền
A77.0,sốt phát ban dạng đốm do rickettsia rikettsii
A77.1,sốt phát ban dạng đốm do rickettsia conoril
A77.3,sốt phát ban dạng đốm do rickettsia australis
A77.8,sốt phát ban dạng đốm khác
A77.9,sốt phát ban dạng đốm không xác định
A78,sốt q
B56.9,bệnh do trypanosoma châu phi không xác định
B57,bệnh chagas
B57.0,bệnh chagas cấp ảnh hưởng đến tim i41 2 i98 1
B57.1,bệnh chagas cấp không ảnh hưởng đến tim
B57.2,bệnh chagas mãn tính ảnh hưởng đến tim
B57.5,bệnh chagas mãn tính ảnh hưởng đến cơ quan khác
B58,bệnh do toxoplasma
B58.0,bệnh lý mắt do toxoplasma
B58.2,viêm não màng não do toxoplasma g05 2
B58.3,bệnh do toxoplasma ở phổi j17 3
B58.8,bệnh do toxoplasma có ảnh hưởng đến cơ quan khác
B60,bệnh do ký sinh trùng đơn bào khác chưa phân loại
B60.0,bệnh do babesia
B60.1,bệnh do acanthamoeba
B60.2,bệnh do naegleria
B64,bệnh do ký sinh trùng đơn bào không xác định
B65,bệnh sán máng bilharziasis
B65.0,bệnh sán máng do schistosoma haematobium bệnh sán máng đường tiết niệu
B65.1,bệnh sán máng do schistosoma mansoni bệnh sán máng đường ruột
B65.3,viêm da do ấu trùng
B65.8,bệnh sán máng khác
B65.9,bệnh sán máng không xác định
B66,bệnh sán lá gan khác
B66.0,bệnh sán lá gan opisthorchis
B66.2,bệnh sán dicrocoelium
B66.3,bệnh fasciola
B66.5,bệnh do fasciolopsis
B66.8,nhiễm sán lá xác định khác
B66.9,bệnh sán lá không xác định
B67.0,nhiễm echinococcus granulosus ở gan
B67.1,nhiễm echinococcus granulosus ở phổi
B67.2,nhiễm echinococcus granulosus ở xương
B67.4,nhiễm echinococcus granulosus không xác định
B67.5,nhiễm echinococcus multilocularis ở gan
B67.6,nhiễm echinococcus multilocularis vị trí khác và nhiều vị trí
B67.7,nhiễm echinococcus multilocularis không xác định
B67.8,bệnh do sán echinococcus ở gan không xác định
B67.9,nhiễm ấu trùng sán echinococcus khác và không xác định
B68.0,bệnh sán taenia solium
B68.1,bệnh sán taenia saginata
B69,bệnh ấu trùng sán lợn
B69.0,bệnh ấu trùng sán lợn ở hệ thần kinh trung ương
B69.1,bệnh ấu trùng sán lợn ở mắt
B69.8,bệnh ấu trùng sán lợn ở vị trí khác
B70.0,bệnh sán diphyllobothrium
B70.1,bệnh sán spargamum
B71,nhiễm sán dây khác
B71.0,bệnh sán dây nhỏ hymenolepis
B71.8,nhiễm sán dây xác định khác
B71.9,nhiễm sán dây không xác định
B72,bệnh giun dracunculus
B74,bệnh giun chỉ
B74.0,bệnh giun chỉ do wuchereria bancrofti
B74.2,bệnh giun chỉ do brugia malayi
B74.3,bệnh giun chỉ loa loa
B74.4,nhiễm giun chỉ mansonella
B74.9,bệnh giun chỉ không xác định
B75,bệnh giun xoắn trichinella
B76,bệnh giun móc
C43.5,u hắc tố ác của thân mình
C43.6,u hắc tố ác của chi trên bao gồm vai
C43.7,u hắc tố ác của chi dưới bao gồm háng
C43.9,u hắc tố ác của da không xác định
C44,u ác khác của da
C44.0,u da ác tính của môi
C44.1,u da ác tính của mi mắt bao gồm khóe mắt
C44.3,u da ác tính của phần khác và không xác định của mặt
C44.4,u da ác tính đầu và da cổ
C44.5,u da ác tính của thân mình
C44.6,u da ác tính của chi trên bao gồm vai
C44.7,u da ác tính của chi dưới bao gồm háng
C44.8,u ác với tổn thương chồng lấn của da
C45,u trung biểu mô
C45.0,u trung biểu mô của màng phổi
C45.1,u trung biểu mô của phúc mạc
C45.9,u trung biểu mô không xác định
C46,ung thư mô liên kết kaposi
C46.0,ung thư mô liên kết kaposi của da
C46.1,ung thư mô liên kết kaposi của mô mềm
C46.7,ung thư mô liên kết kaposi của các nơi khác
C46.8,ung thư mô liên kết kaposi của nhiều cơ quan
C47.0,u ác của dây thần kinh ngoại biên của đầu mặt cổ
C47.1,u ác của dây thần kinh ngoại biên của chi trên bao gồm vai
C47.2,u ác của dây thần kinh ngoại biên của chi dưới bao gồm háng
C47.4,u ác của dây thần kinh ngoại biên của bụng
C47.5,u ác của dây thần kinh ngoại biên của chậu
C47.6,u ác của dây thần kinh ngoại biên của thân mình không xác định
C47.8,u ác với tổn thương chồng lấn của dây thần kinh ngoại biên và của hệ thần kinh tự động
C47.9,u ác của dây thần kinh ngoại biên và hệ thần kinh tự động không xác định
E76.01,hội chứng hurler
E76.03,hội chứng scheie
E76.22,bệnh nhiễm sanfilippo mucopolysaccharid nhiễm mucopolysaccharid týp iii a b c d hội chứng sanfilippo a hội chứng sanfilippo b hội chứng sanfilippo c hội chứng sanfilippo d
E76.29,các suy giảm mucopolysaccharidoses beta glucuronidase khác hội chứng maroteaux lamy trung bình nặng bệnh nhiễm mucopolysaccharide týp vi vii
F16.15,lạm dụng chất gây ảo giác có loạn thần do chất gây ảo giác
F16.18,lạm dụng chất gây ảo giác có rối loạn khác do chất gây ảo giác
F16.19,lạm dụng chất gây ảo giác có rối loạn không xác định do chất gây ảo giác
F16.20,nghiện chất gây ảo giác không biến chứng
F16.21,nghiện chất gây ảo giác đang giảm
F16.22,nghiện chất gây ảo giác có ngộ độc
H49.3,liệt vận nhãn ngoài toàn bộ
F16.24,nghiện chất gây ảo giác có rối loạn tính tình do chất gây ảo giác
F16.25,nghiện chất gây ảo giác loạn thần do chất gây ảo giác
H50.8,lác xác định khác
H52.0,viễn thị
F16.28,nghiện chất gây ảo giác có rối loạn khác do chất gây ảo giác
F16.29,nghiện chất gây ảo giác có rối loạn không xác định do chất gây ảo giác
F16.90,nghiện chất gây ảo giác không xác định không biến chứng
F16.92,sử dụng chất gây ảo giác không xác định có ngộ độc
F16.94,sử dụng chất gây ảo giác không xác định có rối loạn tính tình do chất gây ảo giác
F16.95,sử dụng chất gây ảo giác không xác định có loạn thần do chất gây ảo giác
F16.98,sử dụng chất gây ảo giác không xác định có rối loạn đặc hiệu khác do chất gây ảo giác
C48.0,u ác của vùng sau phúc mạc
C48.1,u ác của các phần xác định của phúc mạc
C48.2,u ác của phúc mạc không xác định
C48.8,u ác với tổn thương chồng lấn của vùng sau phúc mạc và phúc mạc
C49,u ác của mô liên kết và mô mềm khác
C49.1,u ác của mô liên kết và mô mềm của chi trên bao gồm vai
C49.2,u ác của mô liên kết và mô mềm của chi dưới bao gồm háng
C49.3,u ác của mô liên kết và mô mềm của lồng ngực
C49.4,u ác của mô liên kết và mô mềm của bụng
C49.6,u ác của mô liên kết và mô mềm của thân mình không xác định
C49.8,u ác với tổn thương chồng lấn của mô liên kết và mô mềm
C49.9,u ác của mô liên kết và mô mềm không xác định
C50.0,u ác của núm và quầng vú
C50.1,u ác của vùng trung tâm vú
C50.3,u ác của 1 4 dưới trong vú
C50.4,u ác của 1 4 trên ngoài vú
C50.6,u ác của đuôi nách của vú
C50.9,u ác của vú không xác định
C51.0,u ác của môi lớn
C51.1,u ác của môi nhỏ
C51.2,u ác của âm vật
C51.9,u ác của âm hộ không xác định
C52,u ác của âm đạo
C53.1,u ác của cổ tử cung ngoài
C53.8,u ác với tổn thương chồng lấn của cổ tử cung
A15.2,lao phổi xác nhận về mô học
A15.3,lao phổi được xác nhận bằng những phương pháp không xác định
A15.4,lao hạch lympho trong lồng ngực xác nhận về vi trùng học hoặc mô học
A15.5,lao thanh quản khí quản và phế quản xác nhận về vi trùng học và mô học
A15.6,lao màng phổi xác nhận về vi trùng học và mô học
A15.7,lao hô hấp sơ nhiễm xác nhận về vi trùng học và mô học
A15.9,lao hô hấp không xác định xác nhận về vi trùng học và mô học
A16.0,lao phổi âm tính về vi khuẩn học và mô học
A16.1,lao phổi không xét nghiệm vi khuẩn học và mô học
A16.2,lao phổi không đề cập đến việc xác nhận về vi khuẩn và mô học
A16.3,lao hạch lympho trong lồng ngực không đề cập đến việc xác nhận về vi khuẩn học và mô học
A16.5,lao màng phổi không đề cập đến việc xác nhận về vi khuẩn học và mô học
A16.7,lao hô hấp sơ nhiễm không đề cập đến việc xác nhận về vi khuẩn học và mô học
A16.8,lao hô hấp khác không đề cập đến việc xác nhận về vi khuẩn học và mô học
A16.9,lao hô hấp không xác định và không đề cập đến việc xác nhận về vi khuẩn học và mô học
A17,lao hệ thần kinh
A17.0,viêm màng não do lao g01
A17.1,u lao màng não g07
A17.8,lao khác của hệ thần kinh
A39.85,các nhiễm não mô cầu khác viêm kết mạc do não mô cầu
A39.9,nhiễm não mô cầu không xác định
A40,nhiễm trùng huyết do liên cầu
A40.0,nhiễm trùng huyết do liên cầu nhóm a
A40.2,nhiễm trùng huyết do liên cầu nhóm d
A40.3,nhiễm trùng do streptococcus pneumoniae
A40.8,nhiễm trùng huyết do liên cầu khác
A40.9,nhiễm trùng huyết do liên cầu không xác định
A41.0,nhiễm trùng do tụ cầu vàng
A41.1,nhiễm trùng do tụ cầu xác định khác
A41.3,nhiễm trùng do haemophilus influenzae
A41.4,nhiễm trùng do vi khuẩn kỵ khí
A41.5,nhiễm trùng huyết do vi trùng gram âm khác
A41.8,nhiễm trùng huyết xác định khác
A42,bệnh do actinomyces
A42.0,bệnh do actinomyces ở phổi
A42.1,bệnh do actinomyces ở bụng
A42.2,bệnh do actinomyces ở mặt cổ
A42.8,các thể khác của nhiễm actinomyces
A42.9,bệnh do actinomyces không xác định
A43,bệnh do nocardia
A43.0,bệnh do nocardia ở phổi
A43.8,các thể khác của bệnh nocardia
A43.9,bệnh do nocardia không xác định
A44,bệnh do bartonella
A44.1,bệnh do bartonella ở da và niêm mạc
A44.8,các thể khác của bệnh do bartonella
A44.9,bệnh do bartonella không xác định
A46,viêm quầng nhiễm streptococcus ở da
A48.0,bệnh hoại thư sinh hơi
A48.1,bệnh do legionnaire
A48.2,bệnh legionnaire không ở phổi sốt pontiac
A48.3,hội chứng sốc nhiễm độc
A48.4,sốt ban xuất huyết brasil
A49,nhiễm trùng ở các vị trí không xác định
A49.0,nhiễm trùng tụ cầu không xác định được vị trí
A49.1,nhiễm trùng liên cầu không xác định được vị trí
A49.2,nhiễm haemophilus influenzae không xác định được vị trí
B15,viêm gan a cấp
B15.0,viêm gan a có hôn mê gan
B15.9,viêm gan a không có hôn mê gan
B16,viêm gan b cấp
B16.0,viêm gan b cấp có đồng nhiễm virus viêm gan d có hôn mê gan
B16.1,viêm gan b cấp có đồng nhiễm virus viêm gan d không có hôn mê gan
B16.2,viêm gan b cấp không có tác nhân delta có hôn mê gan
B17,viêm gan virus cấp khác
B17.0,viêm gan d cấp tính bội nhiễm trên người mang viêm gan b
B17.1,viêm gan c cấp
B17.2,viêm gan e cấp
B17.8,viêm gan virus cấp xác định khác
B17.9,viên gan virus cấp không xác định
B18,viêm gan virus mạn
B18.1,viêm gan virus b mạn không có đồng nhiễm viêm gan virus d
B18.8,viêm gan virus mạn khác
E88.30,bệnh biến dưỡng thể ty lạp không xác định
E88.31,hội chứng melas bệnh cơ do ty lạp bệnh não toan hoá lactic giai đoạn giống đột quỵ
E88.32,hội chứng merrf myoclonic epilepsy and ragged red fibers
E88.39,bệnh biến dưỡng thể ty lạp khác
E88.81,hội chứng x rối loạc chuyển hóa
E88.89,các rối loạn chuyển hóa khác launois bensaude adenolipomatosis launois bensaude adenolipomatosis trimethylaminuria
E89.40,suy buồng trứng sau phẩu thuật không triệu chứng
E89.41,suy buồng trứng sau phẩu thuật có triệu chứng với các triệu chứng như nóng mặt mất ngũ nhức đầu thiếu tập trung
F98.21,rối loạn nhai lại ở trẻ em
F98.29,rối loạn ăn uống khác ở trẻ em
A17.81,u lao não và tủy sống áp xe lao não và tủy sống
A17.82,lao não màng não lao tủy
A17.83,lao do viêm tủy g05 0
A18,lao các cơ quan khác
A18.0,lao xương và khớp
A18.02,lao ở khớp háng lao khớp gối lao cột sống
A18.03,viêm khớp viêm xương chũm hoại tử xương viêm xương viêm xương tủy xương viêm bao hoạt dịch viêm bao hoạt dịch gân
A18.11,lao cổ tử cung
A18.12,lao thận
A18.13,lao cơ quan sinh dục nam
A18.15,lao cơ quan sinh dục nam khác
A18.16,bệnh viêm nhiễm vùng chậu nữ do lao viêm nội mạc tử cung do lao viêm vòi và buồng trứng do lao
A18.3,lao ruột màng bụng và hạch mạc treo
A18.31,lao phúc mạc tràn dịch màng bụng do lao
A18.39,lao sau phúc mạc lao hạch mạc treo lao sau phúc mạc tuyến lymph
A18.4,lao da và mô dưới da
A18.50,lao mắt không xác định
A18.51,viêm thượng củng mạc do lao
A18.53,viêm màng mạch võng mạc do lao
A18.54,viêm mống thể mi do lao
A18.59,các lao khác ở mắt viêm kết mạc do lao
A18.6,lao ở tai
A18.7,lao tuyến thượng thận e35 1
A18.8,lao các cơ quan khác
A18.81,lao ở nội tâm mạc i39 8
A18.82,lao ở cơ tim i41 0
A18.84,lao ở màng ngoài tim i32 0
A18.85,lao ở tuyến giáp e35 0
A18.86,viêm động mạch não do lao i68 1
A19.0,lao kê cấp của một vị trí xác định
A19.1,lao kê cấp của nhiều vị trí
A19.2,lao kê cấp không xác định
A19.8,lao kê khác
A19.9,lao kê không xác định
A79.0,sốt chiến hào
A79.1,mụn rickettsia do rickettsia akari
A79.8,bệnh do rickettsia xác định khác
A79.9,nhiễm rickettsia không xác định
A80.0,bệnh bại liệt cấp thể liệt liên quan đến vaccins
A80.1,bệnh bại liệt cấp thể liệt do virus hoang dại ngoại lai
A80.2,bệnh bại liệt cấp thể liệt virus hoang dại nội địa
A80.3,bệnh bại liệt cấp thể liệt khác và không xác định
A80.4,bệnh bại liệt cấp không liệt
A80.9,bệnh bại liệt cấp không xác định
A81.0,bệnh bò điên creutzfeidt jakob
A81.1,viêm toàn não xơ hóa bán cấp
A81.2,bệnh lý não chất trắng đa ổ tiến triển
A81.8,nhiễm virus không điển hình khác của hệ thần kinh trung ương
A81.9,nhiễm vius không điển hình của hệ thần kinh trung ương không xác định
A82,bệnh dại
A82.1,bệnh dại thành thị
A82.9,bệnh dại không xác định
A83,viêm não virus do muỗi truyền
B18.9,viêm gan virus mạn không xác định
B19,viêm gan virus không xác định
B19.0,viêm gan virus không xác định có hôn mê gan
B19.9,viêm gan virus không xác định không có hôn mê gan
B20,bệnh hiv dẫn đến bệnh nhiễm trùng và ký sinh trùng
B20.0,bệnh hiv dẫn đến nhiễm mycobacterium
B20.1,bệnh hiv dẫn đến nhiễm trùng khác
B20.3,bệnh hiv dẫn đến nhiễm virus khác
B20.4,bệnh hiv dẫn đến nhiễm candida
B20.5,bệnh hiv dẫn đến nhiễm nấm khác
B20.6,bệnh hiv dẫn đến viêm phổi do pneumocystis jirovecii
B20.8,bệnh hiv dẫn đến bệnh nhiễm trùng và ký sinh trùng khác
B20.9,bệnh hiv dẫn đến bệnh nhiễm trùng và ký sinh trùng không xác định
B21.0,bệnh hiv dẫn đến u sarcom kaposi
B21.1,bệnh hiv dẫn đến u lympho burkitt
B21.2,bệnh hiv dẫn đến u lympho không do hodgkin
B21.3,bệnh hiv dẫn đến u ác tính khác của tổ chức bạch huyết tạo máu và tổ chức liên quan
B21.8,bệnh hiv dẫn đến u ác tính khác
B21.9,bệnh hiv dẫn đến u ác tính không xác định
B22.0,bệnh hiv dẫn đến bệnh lý não
B22.1,bệnh do hiv dẫn đến viêm phổi mô kẽ lympho bào
B22.7,bệnh hiv dẫn đến nhiều bệnh phân loại phần khác
B23.0,hội chứng nhiễm hiv cấp
B23.1,bệnh hiv dẫn đến kéo dài bệnh lý hạch toàn thể
B23.2,bệnh hiv dẫn đến rối loạn huyết học và miễn dịch chưa phân loại
B24,bệnh do hiv không xác định
B25,nhiễm virus đại bào
B25.0,viêm phổi do cytomegalovirus j17 1
B25.1,viêm gan do cytomegalovirus k77 0
B25.8,bệnh khác do cytomegalovirus
B26,bệnh quai bị
B26.0,viêm tinh hoàn do quai bị n51 1
B26.1,viêm màng não do quai bị g02 0
B26.2,viêm não do quai bị g05 1
B26.8,bệnh quai bị với biến chứng khác
B26.81,viêm gan do quai bị
B26.83,viêm dây thần kinh do quai bị
B26.84,viêm đa thần kinh do quai bị
B26.85,viêm khớp do quai bị
C06.8,u ác với tổn thương chồng lấn của phần khác và không xác định của miệng
C06.9,u ác của miệng không xác định
C07,u ác tuyến mang tai
C08.0,u ác của tuyến nước bọt dưới hàm dưới
C08.8,u ác với tổn thương chồng lấn của tuyến nước bọt chính
C09,u ác của amiđan
C09.0,u ác của hố amiđan
F01.50,sa sút tâm thần trong bệnh mạch máu không có rối loạn biểu hiện
F01.51,sa sút tâm thần trong bệnh mạch máu có rối loạn biểu hiện sa sút tâm thần trong bệnh mạch máu có biểu hiện hung hăng
F12.29,nghiện bồ đà rối loạn không xác định do bồ đà
F12.90,sử dụng bồ đà không xác định không biến chứng
F12.92,sử dụng bồ đà không xác định có ngộ độc
F12.95,sử dụng bồ đà không xác định có loạn thần
F12.99,sử dụng bồ đà không xác định có rối loạn không xác định do bồ đà
F13.10,lạm dụng thuốc an thần hoặc thuốc ngủ không biến chứng
F13.12,lạm dụng thuốc an thần hoặc thuốc ngủ với ngộ độc
F13.14,lạm dụng thuốc an thần hoặc thuốc ngủ với rối loạn tính tình do thuốc an thần hoặc thuốc ngủ
F13.15,lạm dụng thuốc an thần hoặc thuốc ngủ với loạn thần do thuốc an thần hoặc thuốc ngủ
H61.8,bệnh tai ngoài xác định khác
H62.0,viêm tai ngoài trong bệnh nhiễm trùng phân loại nơi khác
H62.1,viêm tai ngoài trong bệnh do virus phân loại nơi khác
H62.3,viêm tai ngoài trong bệnh nhiễm trùng và ký sinh trùng khác phân loại nơi khác
H62.4,viêm tai ngoài trong bệnh khác phân loại nơi khác
H62.8,bệnh khác của tai ngoài trong bệnh phân loại nơi khác
H65,viêm tai giữa không nung mủ viêm tai giữa không mủ
H65.0,viêm tai giữa xuất tiết cấp và bán cấp viêm tai giữa thanh dịch cấp
H65.2,viêm tai giữa xuất tiết mạn viêm tai giữa thanh dịch mạn
